50	0.165
51	0.051
54	0.216
55	0.141
65	0.272
66	0.291
67	0.293
68	0.053
72	0.226
79	0.246
90	0.274
93	0.277
107	0.392
113	0.252
114	0.714
132	0.21
137	0.091
139	0.136
164	0.138
167	0.283
169	0.147
171	0.108
172	0.435
185	0.149
187	0.278
194	0.253
201	0.163
202	0.103
211	0.463
213	0.812
217	0.298
219	0.166
221	0.118
223	0.249
238	0.187
244	0.186
260	0.169
263	0.165
270	0.158
271	0.085
274	0.191
286	0.583
288	0.216
290	0.162
294	0.148
298	0.204
314	0.977
319	0.237
322	0.076
331	0.231
339	0.538
365	0.292
380	0.188
381	0.22
383	0.081
385	0.237
390	0.242
392	0.275
393	0.114
395	0.211
399	0.073
401	0.084
409	0.15
410	0.29
413	0.117
414	0.07
418	0.282
421	0.129
434	0.074
453	0.256
457	0.428
462	0.28
464	0.257
469	0.287
476	0.246
477	0.136
479	0.688
482	0.228
484	0.239
486	0.517
487	0.281
491	0.334
498	0.092
499	0.119
504	0.244
521	0.199
533	0.291
535	0.591
550	0.113
555	0.254
556	0.139
559	0.434
560	0.81
563	0.09
570	0.144
574	0.105
576	0.164
577	0.15
578	0.18
584	0.125
589	0.198
596	0.076
598	0.119
606	0.556
615	0.137
619	0.262
620	0.148
625	0.149
635	0.114
656	0.107
658	0.541
659	0.062
664	0.061
671	0.207
673	0.097
675	0.443
679	0.238
686	0.079
692	0.439
703	0.051
710	0.127
714	0.23
716	0.475
720	0.651
722	0.209
730	0.159
735	0.083
744	0.723
746	0.289
753	0.596
754	0.231
761	0.121
772	0.26
774	0.26
796	0.259
802	0.54
809	0.115
820	0.104
826	0.134
833	0.488
837	0.271
849	0.519
850	0.912
854	0.159
856	0.383
863	0.108
877	0.134
884	0.056
917	0.227
941	0.202
949	0.152
953	0.088
954	0.26
955	0.22
964	0.259
965	0.864
967	0.251
971	0.158
986	0.268
992	0.219
993	0.062
996	0.891
997	0.079
1002	0.135
1003	0.053
1004	0.09
1009	0.293
1013	0.094
1020	0.196
1027	0.168
1030	0.071
1037	0.235
1039	0.191
1043	0.077
1045	0.13
1053	0.293
1056	0.296
1062	0.252
1067	0.436
1074	0.21
1082	0.088
1088	0.069
1102	0.249
1103	0.103
1108	0.259
1109	0.085
1110	0.894
1113	0.537
1116	0.281
1124	0.466
1127	0.131
1133	0.259
1137	0.08
1143	0.111
1145	0.549
1153	0.236
1158	0.092
1167	0.56
1181	0.05
1197	0.138
