51	0.099
67	0.278
79	0.143
94	0.059
101	0.534
103	0.425
129	0.914
155	0.206
157	0.248
165	0.244
171	0.17
200	0.12
219	0.235
227	0.417
235	0.18
248	0.057
252	0.091
253	0.217
256	0.692
277	0.53
291	0.263
314	0.072
325	0.203
332	0.634
342	0.728
344	0.158
348	0.13
370	0.334
396	0.14
398	0.274
400	0.181
402	0.684
432	0.412
439	0.051
443	0.076
454	0.056
456	0.767
462	0.109
463	0.27
479	0.271
486	0.253
493	0.285
506	0.126
513	0.284
517	0.129
520	0.131
541	0.879
555	0.099
569	0.295
579	0.164
581	0.051
584	0.982
590	0.079
635	0.192
641	0.216
653	0.068
665	0.223
670	0.538
675	0.127
680	0.053
682	0.687
707	0.387
724	0.563
742	0.06
746	0.11
758	0.247
768	0.176
785	0.203
788	0.365
792	0.208
798	0.462
801	0.327
803	0.352
816	0.279
817	0.441
829	0.137
833	0.188
854	0.121
863	0.103
864	0.086
874	0.509
884	0.817
910	0.11
911	0.239
920	0.068
929	0.071
934	0.348
941	0.984
973	0.563
977	0.282
988	0.281
1022	0.298
1052	0.195
1072	0.208
1073	0.587
1079	0.252
1081	0.223
1092	0.195
1112	0.297
1115	0.391
1121	0.135
1130	0.342
1135	0.121
1146	0.095
1157	0.148
1159	0.425
1163	0.123
1168	0.08
1175	0.134
1208	0.588
1222	0.4
1223	0.14
1231	0.635
1238	0.434
1241	0.217
1252	0.274
1274	0.229
1276	0.568
1286	0.756
1298	0.408
1313	0.132
1317	0.251
1320	0.088
1332	0.204
1335	0.12
1348	0.294
1349	0.061
1355	0.467
1375	0.648
1398	0.139
1403	0.239
1405	0.581
1411	0.293
1438	0.397
1457	0.136
1475	0.211
1485	0.52
1493	0.052
1497	0.103
1498	0.074
1500	0.093
1503	0.261
1536	0.254
1545	0.125
1553	0.292
1558	0.128
1560	0.059
1571	0.126
1573	0.262
1588	0.623
1592	0.169
1638	0.253
1643	0.273
1647	0.14
1650	0.246
1664	0.079
1668	0.073
1687	0.566
1690	0.059
1699	0.14
1714	0.697
1727	0.182
1730	0.264
1736	0.091
1741	0.208
1767	0.412
1773	0.127
1783	0.252
1784	0.44
1793	0.294
1807	0.239
1808	0.053
1810	0.293
1815	0.192
1819	0.069
1828	0.428
1831	0.204
1837	0.594
1872	0.288
1876	0.166
1907	0.434
1914	0.968
1916	0.212
1929	0.086
1935	0.258
1937	0.263
1960	0.208
1966	0.194
1969	0.115
1985	0.525
1990	0.238
1995	0.239
2001	0.096
2013	0.29
2023	0.267
2037	0.314
2044	0.896
2052	0.188
2061	0.09
2082	0.163
